INDICE;ORDEM;CHAVE;DESCRICAO;DESCSPA;DESCENG;PROPRI;F3;NICKNAME;SHOWPESQ
SZO;1;ZO_FILIAL+ZO_CODCOMB;Codigo;Codigo;Codigo;U;;;S
SZO;2;ZO_FILIAL+ZO_DESCRI+ZO_CODCOMB;Desc. Comb.;Desc. Comb.;Desc. Comb.;U;;;S
U00;1;U00_FILIAL+U00_NUMSEQ;Intervencao;Intervencao;Intervencao;U;;;S
U00;2;U00_FILIAL+DTOS(U00_DTINT);Dt intervenc;Dt intervenc;Dt intervenc;U;;;S
U00;3;U00_FILIAL+DTOS(U00_DTINT)+U00_BOMBA;Dt intervenc+Bomba;Dt intervenc+Bomba;Dt intervenc+Bomba;U;;;S
U01;1;U01_FILIAL+U01_NUMSEQ+U01_LACRE;Codigo+Lacre;Codigo+Lacre;Codigo+Lacre;U;;;S
U02;1;U02_FILIAL+U02_NUMSEQ+U02_SEQBIC;Codigo+Sequencia;Codigo+Sequencia;Codigo+Sequencia;U;;;S
U02;2;U02_FILIAL+U02_NUMSEQ+U02_BICO;Codigo+Bico;Codigo+Bico;Codigo+Bico;U;;;S
U03;1;U03_FILIAL+U03_GRUPO+U03_USER;Grp. Usuario+Usuario;Grp. Usuario+Usuario;Grp. Usuario+Usuario;U;;;S
U04;1;U04_FILIAL+U04_GRUPO+U04_USER+U04_ITEM;Grp. Usuario+Usuario+Item;Grp. Usuario+Usuario+Item;Grp. Usuario+Usuario+Item;U;;;N
U0A;1;U0A_FILIAL+U0A_FORPAG+U0A_CONDPG+U0A_ADMFIN;Form+Cond+Adm Fin;Form+Cond+Adm Fin;Form+Cond+Adm Fin;U;;;S
U0B;1;U0B_FILIAL+U0B_PRODUT;Prod;Prod;Prod;U;;;S
U0C;1;U0C_FILIAL+U0C_PRODUT+U0C_FORPAG+U0C_CONDPG+U0C_ADMFIN;Prod+Form+Cond+Adm Fin;Prod+Form+Cond+Adm Fin;Prod+Form+Cond+Adm Fin;U;;;S
U0D;1;U0D_FILIAL+U0D_GRUPO+U0D_USER;Grp. Usuario+Usuario;Grp. Usuario+Usuario;Grp. Usuario+Usuario;U;;;S
U0D;2;U0D_FILIAL+U0D_GRUPO;Grp. Usuario;Grp. Usuario;Grp. Usuario;U;;;N
U0D;3;U0D_FILIAL+U0D_USER;Usuario;Usuario;Usuario;U;;;N
U0E;1;U0E_FILIAL+U0E_CHAVE+DTOS(U0E_DATA)+U0E_HORA;Chave Rot.+Data+Hora;Chave Rot.+Data+Hora;Chave Rot.+Data+Hora;U;;;S
U0E;2;U0E_FILIAL+U0E_CHAVE+U0E_DOC+DTOS(U0E_DATA)+U0E_HORA;Chave Rot.+Documento+Data+Hora;Chave Rot.+Documento+Data+Hora;Chave Rot.+Documento+Data+Hora;U;;;S
U0F;1;U0F_FILIAL+U0F_CODIGO;Codigo;Codigo;Codigo;U;;;S
U0G;1;U0G_FILIAL+U0G_PRODUT+U0G_FORPAG+U0G_CONDPG+U0G_ADMFIN+DTOS(U0G_DTINIC)+U0G_HRINIC;Prod+Form+Cond+Adm Fin+Data Inicio+Hora Inicio;Prod+Form+Cond+Adm Fin+Data Inicio+Hora Inicio;Prod+Form+Cond+Adm Fin+Data Inicio+Hora Inicio;U;;;S
U0H;1;U0H_FILIAL+U0H_OPERAD+U0H_NUMMOV+U0H_ESTACA+U0H_SERIE+U0H_PDV+DTOS(U0H_DTABER)+U0H_HRABER;Operador+Movimento+Codigo Est.+Serie+PDV+Abertura+Hora abertur;Operador+Movimento+Codigo Est.+Serie+PDV+Abertura+Hora abertur;Operador+Movimento+Codigo Est.+Serie+PDV+Abertura+Hora abertur;U;;;S
U0I;1;U0I_FILIAL+DTOS(U0I_DATA)+U0I_PROD+U0I_TANQUE+U0I_BICO;Data LMC+Produto+Tanque+Bico;Data LMC+Produto+Tanque+Bico;Data LMC+Produto+Tanque+Bico;U;;;S
U0J;1;U0J_FILIAL+U0J_PREFIX+U0J_NUM+U0J_PARCEL+U0J_TIPO;Prefixo+Numero+Parcela+Tipo;Prefixo+Numero+Parcela+Tipo;Prefixo+Numero+Parcela+Tipo;U;;;S
U25;1;U25_FILIAL+U25_REPLIC;ID REPLICA;ID REPLICA;ID REPLICA;U;;;N
U25;2;U25_FILIAL+U25_PRODUT+U25_CLIENT+U25_LOJA+U25_GRPCLI+U25_FORPAG+U25_CONDPG+U25_ADMFIN+U25_EMITEN+U25_LOJEMI+U25_PLACA+DTOS(U25_DTINIC)+U25_HRINIC;Prod+Cli+Loja+GrpCli+Form+Cond+Adm Fin+Emit+Loja E+Placa+Dt Ini+Hr Ini;Prod+Cli+Loja+GrpCli+Form+Cond+Adm Fin+Emit+Loja E+Placa+Dt Ini+Hr Ini;Prod+Cli+Loja+GrpCli+Form+Cond+Adm Fin+Emit+Loja E+Placa+Dt Ini+Hr Ini;U;;;S
U25;3;U25_FILIAL+U25_CLIENT+U25_LOJA+U25_GRPCLI+U25_PRODUT+U25_FORPAG+U25_CONDPG+U25_ADMFIN+U25_EMITEN+U25_LOJEMI+U25_PLACA+DTOS(U25_DTINIC)+U25_HRINIC;Cli+Loja+GrpCli+Prod+Form+Cond+Adm Fin+Emit+Loja E+Placa+Dt Ini+Hr Ini;Cli+Loja+GrpCli+Prod+Form+Cond+Adm Fin+Emit+Loja E+Placa+Dt Ini+Hr Ini;Cli+Loja+GrpCli+Prod+Form+Cond+Adm Fin+Emit+Loja E+Placa+Dt Ini+Hr Ini;U;;;S
U44;1;U44_FILIAL+U44_FORMPG+U44_CONDPG;Forma Pgto+Cond Pgto;Forma Pgto+Cond Pgto;Forma Pgto+Cond Pgto;U;;;S
U52;1;U52_FILIAL+U52_CODCLI+U52_LOJA+U52_GRPVEN+U52_CLASSE+U52_SATIV1;Cliente+Loja+Grp.Clientes+Classe+Segmento;Cliente+Loja+Grp.Clientes+Classe+Segmento;Cliente+Loja+Grp.Clientes+Classe+Segmento;U;;;S
U52;2;U52_FILIAL+U52_CODCLI+U52_LOJA;Cliente+Loja;Cliente+Loja;Cliente+Loja;U;;;S
U52;3;U52_FILIAL+U52_GRPVEN;Grp.Clientes;Grp.Clientes;Grp.Clientes;U;;;S
U52;4;U52_FILIAL+U52_CLASSE;Classe;Classe;Classe;U;;;S
U52;5;U52_FILIAL+U52_SATIV1;Segmento;Segmento;Segmento;U;;;S
U53;1;U53_FILIAL+U53_CODCLI+U53_LOJA+U53_GRPVEN+U53_CLASSE+U53_SATIV1+U53_ITEM;Cliente+Loja+Grp.Clientes+Classe+Segmento+Item;Cliente+Loja+Grp.Clientes+Classe+Segmento+Item;Cliente+Loja+Grp.Clientes+Classe+Segmento+Item;U;;;S
U53;2;U53_FILIAL+U53_FORMPG+U53_CONDPG;Form Pagto+Cond Pagto;Form Pagto+Cond Pagto;Form Pagto+Cond Pagto;U;;;S
U53;3;U53_FILIAL+U53_FORMPG+U53_CONDPG+U53_CODCLI+U53_LOJA;Form Pagto+Cond Pagto+Cod Cli+Loja Cli;Form Pagto+Cond Pagto+Cod Cli+Loja Cli;Form Pagto+Cond Pagto+Cod Cli+Loja Cli;U;;;S
U56;1;U56_FILIAL+U56_PREFIX+U56_CODIGO;Prefixo Req.+Codigo;Prefixo Req.+Codigo;Prefixo Req.+Codigo;U;;;S
U56;2;U56_FILIAL+U56_CODCLI+U56_LOJA;Cliente+Loja;Cliente+Loja;Cliente+Loja;U;;;S
U56;3;U56_FILIAL+U56_BANCO+U56_AGENCI+U56_NUMCON;Banco+Agencia+Nro Conta;Banco+Agencia+Nro Conta;Banco+Agencia+Nro Conta;U;;;S
U57;1;U57_FILIAL+U57_PREFIX+U57_CODIGO+U57_PARCEL;Prefixo Req.+Codigo+Parcela;Prefixo Req.+Codigo+Parcela;Prefixo Req.+Codigo+Parcela;U;;;S
U57;2;U57_FILIAL+DTOS(U57_DATAMO)+U57_XOPERA+U57_XNUMMO+U57_XPDV+U57_XESTAC;Dt Movimento+Operador+Num. Movimen+PDV+Estacao;Dt Movimento+Operador+Num. Movimen+PDV+Estacao;Dt Movimento+Operador+Num. Movimen+PDV+Estacao;U;;;N
U59;1;U59_FILIAL+U59_LOCAL+U59_PRODUT;Local+Produto;Local+Produto;Local+Produto;U;;;S
U59;2;U59_FILIAL+U59_PRODUT;Produto;Produto;Produto;U;;;S
U68;1;U68_FILIAL+U68_CODIGO;Codigo;Codigo;Codigo;U;;;S
U68;2;U68_FILIAL+U68_VEND;Vendedor;Vendedor;Vendedor;U;;;S
U68;3;U68_FILIAL+U68_NUM;Num. Cartao;Num. Cartao;Num. Cartao;U;;;N
U68;4;U68_FILIAL+U68_CONCEN+U68_NUM;Concentrador + Num. Cartao;Concentrador + Num. Cartao;Concentrador + Num. Cartao;U;;;N
