X2_CHAVE;X2_PATH;X2_ARQUIVO;X2_NOME;X2_NOMESPA;X2_NOMEENG;X2_ROTINA;X2_MODO;X2_MODOUN;X2_MODOEMP;X2_DELET;X2_TTS;X2_UNICO;X2_PYME;X2_MODULO;X2_DISPLAY
SZO;\DATA\;SZO010;COMPLEMENTOS DE COMBUSTIVEIS;COMPLEMENTOS DE COMBUSTIVEIS;COMPLEMENTOS DE COMBUSTIVEIS;;C;C;C;0;;;;0;
U00;\DATA\;U00010;MANUTENCAO DE BOMBAS;MANUTENCAO DE BOMBAS;MANUTENCAO DE BOMBAS;;E;E;E;0;;;;0;
U01;\DATA\;U01010;MANUTENCAO LACRE;MANUTENCAO LACRE;MANUTENCAO LACRE;;E;E;E;0;;;;0;
U02;\DATA\;U02010;MANUTENCAO BICO;MANUTENCAO BICO;MANUTENCAO BICO;;E;E;E;0;;;;0;
U03;\DATA\;U03010;CABECALHO ALCADA;CABECALHO ALCADA;CABECALHO ALCADA;;E;E;E;0;;;;0;
U04;\DATA\;U04010;ITENS ALCADA DESCONTO;ITENS ALCADA DESCONTO;ITENS ALCADA DESCONTO;;E;E;E;0;;;;0;
U0A;\DATA\;U0A010;Tipo de Preco Base;Tipo de Preco Base;Tipo de Preco Base;;E;E;E;0;;;;0;
U0B;\DATA\;U0B010;Tabela de Preco Base;Tabela de Preco Base;Tabela de Preco Base;;E;E;E;0;;;;0;
U0C;\DATA\;U0C010;Itens Tabela de Preco Base;Itens Tabela de Preco Base;Itens Tabela de Preco Base;;E;E;E;0;;;;0;
U0D;\DATA\;U0D010;Alcadas Diversas;Alcadas Diversas;Alcadas Diversas;;E;E;E;0;;;;0;
U0E;\DATA\;U0E010;Log Liberacao por Alcada;Log Liberacao por Alcada;Log Liberacao por Alcada;;E;E;E;0;;;;0;
U0F;\DATA\;U0F010;MOTIVO DE DEVOLUCAO;MOTIVO DE DEVOLUCAO;MOTIVO DE DEVOLUCAO;;C;C;C;0;;;;0;
U0G;\DATA\;U0G010;Hist. Itens Tabela de P. Base;Hist. Itens Tabela de P. Base;Hist. Itens Tabela de P. Base;;E;E;E;0;;;;0;
U0H;\DATA\;U0H010;Hist. Movim. Processos Venda;Hist. Movim. Processos Venda;Hist. Movim. Processos Venda;;E;E;E;0;;;S;0;
U0I;\DATA\;U0I010;Historico de Vendas LMC;Historico de Vendas LMC;Historico de Vendas LMC;;E;E;E;0;;;;0;
U0J;\DATA\;U0J010;Log Exclusao Faturas;Log Exclusao Faturas;Log Exclusao Faturas;;E;E;E;0;;;;0;
U25;\DATA\;U25010;NEGOCIACAO DE PRECOS;NEGOCIACAO DE PRECOS;NEGOCIACAO DE PRECOS;;E;E;E;0;;;;0;
U44;\DATA\;U44010;NEGOCIACAO DE PAGAMENTO;NEGOCIACAO DE PAGAMENTO;NEGOCIACAO DE PAGAMENTO;;C;C;C;0;;;;0;
U52;\DATA\;U52010;NEGOCIACAO PAGTO POR CLIENTES;NEGOCIACAO PAGTO POR CLIENTES;NEGOCIACAO PAGTO POR CLIENTES;;C;C;C;0;;;;0;
U53;\DATA\;U53010;ITENS NEGOCIACAO PGTO POR CLIE;ITENS NEGOCIACAO PGTO POR CLIE;ITENS NEGOCIACAO PGTO POR CLIE;;C;C;C;0;;;;0;
U56;\DATA\;U56010;CABECALHO DA REQUISICAO;CABECALHO DA REQUISICAO;CABECALHO DA REQUISICAO;;C;C;C;0;;;;0;
U57;\DATA\;U57010;PARCELAS DA REQUISICAO;PARCELAS DA REQUISICAO;PARCELAS DA REQUISICAO;;C;C;C;0;;;;0;
U59;\DATA\;U59010;ESTOQUE DE EXPOSICAO;ESTOQUE DE EXPOSICAO;ESTOQUE DE EXPOSICAO;;E;E;E;0;;;;0;
U68;\DATA\;U68010;CARTAO IDENTFID;CARTAO IDENTFID;CARTAO IDENTFID;;E;E;E;0;;;;0;
U69;\DATA\;U69010;LOG TROCA DE CLIENTES NO CF;.;.;;E;E;E;0;;;;0;
U88;\DATA\;U88010;CONFIGURAR FATURAMENTO;CONFIGURAR FATURAMENTO;CONFIGURAR FATURAMENTO;;E;E;E;0;;;;0;
U92;\DATA\;U92010;TABELA DE RECADOS;TABELA DE RECADOS;TABELA DE RECADOS;;C;C;C;0;;;;0;
U98;\DATA\;U98010;ADM. FIN. X LAYOUT (CAB);ADM. FIN. X LAYOUT (CAB);ADM. FIN. X LAYOUT (CAB);;C;C;C;0;;;;0;
U99;\DATA\;U99010;ITENS ADM. FIN. X LAYOUT;ITENS ADM. FIN. X LAYOUT;ITENS ADM. FIN. X LAYOUT;;C;C;C;0;;;;0;
UB4;\DATA\;UB4010;NUMERACAO LMC;NUMERACAO LMC;NUMERACAO LMC;;E;E;E;0;;;;0;
UC0;\DATA\;UC0010;COMPENSACAO - CAB;COMPENSACAO - CAB;COMPENSACAO - CAB;;E;E;E;0;;;;0;
UC1;\DATA\;UC1010;COMPENSACAO - FORMAS;COMPENSACAO - FORMAS;COMPENSACAO - FORMAS;;E;E;E;0;;;;0;
UC2;\DATA\;UC2010;ACESSO FUNCOES CUSTOMIZ.;ACESSO FUNCOES CUSTOMIZ.;ACESSO FUNCOES CUSTOMIZ.;;E;E;E;0;;;;0;
UC3;\DATA\;UC3010;Segmentos Limite Credito;Segmentos Limite Credito;Segmentos Limite Credito;;C;C;C;0;;;;0;
UC4;\DATA\;UC4010;Limites Cliente por Segmento;Limites Cliente por Segmento;Limites Cliente por Segmento;;C;C;C;0;;;;0;
UC5;\DATA\;UC5010;Filial X Segmentos Limite;Filial X Segmentos Limite;Filial X Segmentos Limite;;C;C;C;0;;;;0;
UCA;\DATA\;UCA010;CARGA SOBRE REGISTRO;CARGA SOBRE REGISTRO;CARGA SOBRE REGISTRO;;C;C;C;0;;;;0;
UF1;\DATA\;UF1010;CADASTRO DE LOTE DE CHEQUE TRO;CADASTRO DE LOTE DE CHEQUE TRO;CADASTRO DE LOTE DE CHEQUE TRO;;E;E;E;0;;;;0;
UF2;\DATA\;UF2010;CHEQUES TROCO;CHEQUES TROCO;CHEQUES TROCO;;E;E;E;0;;;;0;
UF6;\DATA\;UF6010;CLASSE CLIENTE;CLASSE CLIENTE;CLASSE CLIENTE;;C;C;C;0;;;;0;
UH8;\DATA\;UH8010;SERVICOS PRESTADOS FORNECEDOR;SERVICOS PRESTADOS FORNECEDOR;SERVICOS PRESTADOS FORNECEDOR;;E;E;E;0;;;;0;
UH9;\DATA\;UH9010;ITENS SERIVICOS PRESTADOS;ITENS SERIVICOS PRESTADOS;ITENS SERIVICOS PRESTADOS;;E;E;E;0;;;;0;
UI0;\DATA\;UI0010;PRECOS NEGOCIADOS VLS;PRECOS NEGOCIADOS VLS;PRECOS NEGOCIADOS VLS;;E;E;E;0;;;;0;
UI1;\DATA\;UI1010;FORNEC. PRECOS NEGOCIADOS VLS;FORNEC. PRECOS NEGOCIADOS VLS;FORNEC. PRECOS NEGOCIADOS VLS;;E;E;E;0;;;;0;
UIB;\DATA\;UIB010;PRODUTOS PRECOS NEGOCIADOS VLS;PRODUTOS PRECOS NEGOCIADOS VLS;PRODUTOS PRECOS NEGOCIADOS VLS;;E;E;E;0;;;;0;
UIC;\DATA\;UIC010;VALES SERVICO;VALES SERVICO;VALES SERVICO;;E;E;E;0;;;;0;
ZE0;\DATA\;ZE0010;Cad. Tanques Fisicos;Cad. Tanques Fisicos;Cad. Tanques Fisicos;;E;E;E;0;;;;0;
ZE3;\DATA\;ZE3010;CABECALHO DE CRC;CABECALHO DE CRC;CABECALHO DE CRC;;E;E;E;0;;;;0;
ZE4;\DATA\;ZE4010;ITENS CRC;ITENS CRC;ITENS CRC;;E;E;E;0;;;;0;
ZE5;\DATA\;ZE5010;CAD. AMOSTRAS CRC;CAD. AMOSTRAS CRC;CAD. AMOSTRAS CRC;;E;E;E;0;;;;0;
ZE6;\DATA\;ZE6010;Cab. Volumetria Tanque;Cab. Volumetria Tanque;Cab. Volumetria Tanque;;E;E;E;0;;;;0;
ZE7;\DATA\;ZE7010;Itens Volumetria Tanque;Itens Volumetria Tanque;Itens Volumetria Tanque;;E;E;E;0;;;;0;
