X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_AGRUP
SZO;01;ZO_FILIAL;C;4;0;Filial;Sucursal;Branch;Filial do Sistema;Sucursal;Branch of the System;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;1;xxxx x;;;U;N;;;;;;;;;;;033;;;;;;;;;
SZO;02;ZO_CODCOMB;C;9;0;Codigo;Codigo;Codigo;Codigo;Codigo;Codigo;999999999;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;S;A;R;;Existchav('SZO',XFILIAL('SZO')+M->ZO_CODCOMB);;;;;;;;;;;;;N;N;;
SZO;03;ZO_DESCRI;C;100;0;Desc. Comb.;Desc. Comb.;Desc. Comb.;Desc. Combustiveis;Desc. Combustiveis;Desc. Combustiveis;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;S;A;R;;;;;;;;;;;;;;;N;N;;
SZO;04;ZO_DTINI;D;8;0;Data Inicio;Data Inicio;Data Inicio;Data Inicio;Data Inicio;Data Inicio;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;S;A;R;;;;;;;;;;;;;;;N;N;;
SZO;05;ZO_DTFIM;D;8;0;Data Fim;Data Fim;Data Fim;Data Fim;Data Fim;Data Fim;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;;U;S;A;R;;;;;;;;;;;;;;;N;N;;
SZO;06;ZO_MSEXP;C;8;0;Ident.Exp.;Ident.Exp.;Exp. ID;Ident.Exp.Dados;Ident.Exp.Datos;Data Exp. Ident.;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
SZO;07;ZO_HREXP;C;8;0;Hora Exp;Hora Exp;Hora Exp;Hora da Exportacao;Hora da Exportacao;Hora da Exportacao;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
SZO;08;ZO_SITUA;C;2;0;Situacao;Situacion;Status;Situacao do Registro;Situacion de Registro;Record Status;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
U00;01;U00_FILIAL;C;4;0;Filial;Sucursal;Branch;Filial do Sistema;Sucursal;Branch of the System;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;1;xxxx x;;;U;N;;;;;;;;;;;033;;;;;;;;;
U00;02;U00_NUMSEQ;C;6;0;Codigo;Codigo;Codigo;Codigo;Codigo;Codigo;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;GETSX8NUM('U00','U00_NUMSEQ');;0;xxxx x;;;U;S;V;R;;;;;;;;;;;;;;;;;;
U00;03;U00_BOMBA;C;3;0;Bomba;Bomba;Bomba;Bomba;Bomba;Bomba;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;S;U;S;V;R;;;;;;;;;;;;;;;;;;
U00;04;U00_DTINT;D;8;0;Dt intervenc;Dt intervenc;Dt intervenc;Dt intervenc;Dt intervenc;Dt intervenc;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;DDATABASE;;0;xxxx x;;;U;S;V;R;;;;;;;;;;;;;;;;;;
