X7_CAMPO;X7_SEQUENC;X7_REGRA;X7_CDOMIN;X7_TIPO;X7_SEEK;X7_ALIAS;X7_ORDEM;X7_CHAVE;X7_CONDIC;X7_PROPRI
U00_HORAIN;001;U_GETU0X();U00_HORAIN;P;N;;0;;;U
U03_GRUPO;001;SubStr(GrpRetName(M->U03_GRUPO),1,TamSX3("U03_DESGRP")[1]);U03_DESGRP;P;N;;0;;;U
U03_USER;001;SubStr(UsrFullName(M->U03_USER),1,TamSX3("U03_DESUSR")[1]);U03_DESUSR;P;N;;0;;;U
U0A_FORPAG;001;POSICIONE('SX5',1,XFILIAL('SX5')+'24'+M->U0A_FORPAG,'X5_DESCRI');U0A_DESFOR;P;N;;0;;;U
U0A_FORPAG;002;U44->U44_DESCRI;U0A_DESNPG;P;S;U44;1;xFilial('U44')+M->U0A_FORPAG+M->U0A_CONDPG;;U
U0A_CONDPG;001;POSICIONE('SE4',1,XFILIAL('SE4')+M->U0A_CONDPG,'E4_DESCRI');U0A_DESCND;P;N;;0;;;U
U0A_CONDPG;002;U44->U44_DESCRI;U0A_DESNPG;P;S;U44;1;xFilial('U44')+M->U0A_FORPAG+M->U0A_CONDPG;;U
U0A_ADMFIN;001;POSICIONE('SAE',1,XFILIAL('SAE')+M->U0A_ADMFIN,'AE_DESC');U0A_DESADM;P;N;;0;;;U
U0B_PRODUT;001;U_TRET023H('SB1',1,XFILIAL('SB1')+M->U0B_PRODUT,'B1_DESC');U0B_DESPRO;P;N;;0;;;U
U0B_PRODUT;002;U_URetPrec(M->U0B_PRODUT,,.F.);U0B_PRCVEN;P;N;;0;;;U
U25_PRODUT;001;U_UPOSICIO('SB1',1,XFILIAL('SB1')+M->U25_PRODUT,'B1_DESC');U25_DESPRO;P;N;;0;;;U
U25_PRODUT;002;U_URetPrec(M->U25_PRODUT);U25_PRCTAB;P;N;;0;;;U
U25_PRODUT;003;U_URetPrBa(M->U25_PRODUT,M->U25_FORPAG,M->U25_CONDPG,M->U25_ADMFIN,,M->U25_DTINIC,M->U25_HRINIC);U25_PRCBAS;P;N;;0;;;U
U25_PRODUT;004;0;U25_PRCVEN;P;N;;0;;;U
U25_PRODUT;005;0;U25_DESPBA;P;N;;0;;;U
U25_FORPAG;001;Posicione('U44',1,xFilial('U44')+M->U25_FORPAG+M->U25_CONDPG,'U44_DESCRI');U25_DESCPG;P;N;;0;;;U
U25_FORPAG;002;' ';U25_ADMFIN;P;N;;0;;;U
U25_FORPAG;003;' ';U25_EMITEN;P;N;;0;;;U
U25_FORPAG;004;' ';U25_LOJEMI;P;N;;0;;;U
U25_FORPAG;005;iif(empty(M->U25_FORPAG),' ',M->U25_CONDPG);U25_CONDPG;P;N;;0;;;U
U25_FORPAG;006;U_URetPrBa(M->U25_PRODUT,M->U25_FORPAG,M->U25_CONDPG,M->U25_ADMFIN,,M->U25_DTINIC,M->U25_HRINIC);U25_PRCBAS;P;N;;0;;;U
U25_FORPAG;007;0;U25_PRCVEN;P;N;;0;;;U
U25_FORPAG;008;0;U25_DESPBA;P;N;;0;;;U
U25_CONDPG;001;Posicione('U44',1,xFilial('U44')+M->U25_FORPAG+M->U25_CONDPG,'U44_DESCRI');U25_DESCPG;P;N;;0;;;U
U25_CONDPG;002;U_URetPrBa(M->U25_PRODUT,M->U25_FORPAG,M->U25_CONDPG,M->U25_ADMFIN,,M->U25_DTINIC,M->U25_HRINIC);U25_PRCBAS;P;N;;0;;;U
U25_CONDPG;003;0;U25_PRCVEN;P;N;;0;;;U
U25_CONDPG;004;0;U25_DESPBA;P;N;;0;;;U
U25_CLIENT;001;U_UPOSICIO('SA1',1,xFilial('SA1')+M->U25_CLIENT+M->U25_LOJA,'A1_NOME');U25_NOMCLI;P;N;;0;;;U
U25_CLIENT;002;iif(empty(M->U25_CLIENT),'  ',M->U25_LOJA);U25_LOJA;P;N;;0;;;U
U25_LOJA;001;U_UPOSICIO('SA1',1,xFilial('SA1')+M->U25_CLIENT+M->U25_LOJA,'A1_NOME');U25_NOMCLI;P;N;;0;;;U
U25_GRPCLI;001;U_UPOSICIO('ACY',1,XFILIAL('ACY')+M->U25_GRPCLI,'ACY_DESCRI');U25_NOMCLI;P;N;;0;;;U
U25_ADMFIN;001;POSICIONE('SAE',1,XFILIAL('SAE')+M->U25_ADMFIN,'AE_DESC');U25_DESADM;P;N;;0;;;U
U25_ADMFIN;002;U_URetPrBa(M->U25_PRODUT,M->U25_FORPAG,M->U25_CONDPG,M->U25_ADMFIN,,M->U25_DTINIC,M->U25_HRINIC);U25_PRCBAS;P;N;;0;;;U
U25_ADMFIN;003;0;U25_PRCVEN;P;N;;0;;;U
U25_ADMFIN;004;0;U25_DESPBA;P;N;;0;;;U
U25_EMITEN;001;U_UPOSICIO('SA1',1,xFilial('SA1')+M->U25_EMITEN+M->U25_LOJEMI,'A1_NOME');U25_NOMEMI;P;N;;0;;;U
U25_EMITEN;002;iif(empty(M->U25_EMITEN),'  ',M->U25_LOJEMI);U25_LOJEMI;P;N;;0;;;U
U25_LOJEMI;001;U_UPOSICIO('SA1',1,xFilial('SA1')+M->U25_EMITEN+M->U25_LOJEMI,'A1_NOME');U25_NOMEMI;P;N;;0;;;U
U25_DTINIC;001;U_URetPrBa(M->U25_PRODUT,M->U25_FORPAG,M->U25_CONDPG,M->U25_ADMFIN,,M->U25_DTINIC,M->U25_HRINIC);U25_PRCBAS;P;N;;0;;;U
U25_DTINIC;002;0;U25_PRCVEN;P;N;;0;;;U
U25_DTINIC;003;0;U25_DESPBA;P;N;;0;;;U
U25_HRINIC;001;U_URetPrBa(M->U25_PRODUT,M->U25_FORPAG,M->U25_CONDPG,M->U25_ADMFIN,,M->U25_DTINIC,M->U25_HRINIC);U25_PRCBAS;P;N;;0;;;U
U25_HRINIC;002;0;U25_PRCVEN;P;N;;0;;;U
U25_HRINIC;003;0;U25_DESPBA;P;N;;0;;;U
U25_DESPBA;001;M->U25_PRCBAS-M->U25_DESPBA;U25_PRCVEN;P;N;;0;;;U
U25_PRCVEN;001;M->U25_PRCBAS-M->U25_PRCVEN;U25_DESPBA;P;N;;0;;;U
U44_FORMPG;001;Alltrim(SX5->X5_DESCRI)+' '+alltrim(posicione('SE4',1,xFilial('SE4')+M->U44_CONDPG,'E4_DESCRI'));U44_DESCRI;P;S;SX5;1;xFilial('SX5')+'24'+M->U44_FORMPG;;U
U44_CONDPG;001;alltrim(posicione('SX5',1,xFilial('SX5')+'24'+M->U44_FORMPG,'X5_DESCRI'))+' '+SE4->E4_DESCRI;U44_DESCRI;P;S;SE4;1;xFilial('SE4')+M->U44_CONDPG;;U
U52_CODCLI;001;SA1->A1_NOME;U52_NOME;P;S;SA1;1;xFilial('SA1')+M->(U52_CODCLI+U52_LOJA);SA1->A1_COD==M->U52_CODCLI;U
U52_CODCLI;002;'';U52_GRPVEN;P;N;;0;;;U
U52_CODCLI;003;'';U52_DESGRP;P;N;;0;;;U
U52_CODCLI;004;'';U52_LOJA;P;N;;0;;Empty( M->U52_CODCLI );U
U52_CODCLI;005;'';U52_NOME;P;N;;0;;Empty( M->U52_CODCLI );U
