XB_ALIAS;XB_TIPO;XB_SEQ;XB_COLUNA;XB_DESCRI;XB_DESCSPA;XB_DESCENG;XB_CONTEM;XB_WCONTEM
U44;1;01;DB;Negociacao de Pgto;Negociacao de Pgto;Negociacao de Pgto;U44;
U44;2;01;01;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;;
U44;4;01;01;Forma Pgto;Forma Pgto;Forma Pgto;U44_FORMPG;
U44;4;01;02;Cond Pgto;Cond Pgto;Cond Pgto;U44_CONDPG;
U44;4;01;03;Descricao;Descricao;Descricao;U44_DESCRI;
U44;4;01;04;Padrao;Padrao;Padrao;U44_PADRAO;
U44;5;01;;;;;U44->U44_FORMPG;
U44;5;02;;;;;U44->U44_CONDPG;
U44U0A;1;01;DB;Condicao Pagamento;Condicao Pagamento;Condicao Pagamento;U44;
U44U0A;2;01;01;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;;
U44U0A;4;01;01;Cond Pgto;Cond Pgto;Cond Pgto;U44_CONDPG;
U44U0A;4;01;02;Descricao;Descricao;Descricao;RetField('SE4',1,xFilial('SE4')+U44->U44_CONDPG,'E4_DESCRI');
U44U0A;5;01;;;;;U44->U44_CONDPG;
U44U0A;6;01;;;;;U44->U44_FORMPG==iif(type('M->U0A_FORPAG')=='U',GdFieldGet('U0A_FORPAG'),M->U0A_FORPAG);
SAEU0A;1;01;DB;Adm. Fin. Prc. Neg.;Adm. Fin. Prc. Neg.;Adm. Fin. Prc. Neg.;SAE;
SAEU0A;2;01;01;Cod Adm;Administrad.;C.card Code;;
SAEU0A;2;02;02;Cod. Cliente;Cliente;Customer;;
SAEU0A;4;01;01;Cod Adm;Administrad.;C.Card Code;AE_COD;
SAEU0A;4;01;02;Nome Adm;Cliente;Admnist.Name;AE_DESC;
SAEU0A;4;02;01;Cod Adm;Administrad.;C.Card Code;AE_COD;
SAEU0A;4;02;02;Nome Adm;Nombre Adm.;Admnist.Name;AE_DESC;
SAEU0A;5;01;;;;;SAE->AE_COD;
SAEU0A;6;01;;;;;PADR(SAE->AE_TIPO,3) = PADR(IF(ValType(M->U0A_FORPAG)=='C',M->U0A_FORPAG,GdFieldGet('U0A_FORPAG')),3);
SB1DA1;1;01;RE;Produtos Tabela;Produtos Tabela;Produtos Tabela;SB1;
SB1DA1;2;01;01;;;;U_TRETE046();
SB1DA1;5;01;;;;;U_TRET046A();
U44U0C;1;01;DB;Condicao Pagamento;Condicao Pagamento;Condicao Pagamento;U44;
U44U0C;2;01;01;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;Forma Pgto+cond Pgto;;
U44U0C;4;01;01;Cond Pgto;Cond Pgto;Cond Pgto;U44_CONDPG;
U44U0C;4;01;02;Descricao;Descricao;Descricao;RetField('SE4',1,xFilial('SE4')+U44->U44_CONDPG,'E4_DESCRI');
U44U0C;5;01;;;;;U44->U44_CONDPG;
U44U0C;6;01;;;;;U44->U44_FORMPG==iif(type('M->U0C_FORPAG')=='U',GdFieldGet('U0C_FORPAG'),M->U0C_FORPAG);
