INDICE;ORDEM;CHAVE;DESCRICAO;DESCSPA;DESCENG;PROPRI;F3;NICKNAME;SHOWPESQ
MHX;1;MHX_FILIAL+MHX_CODCON;Código da Concentradora;Código;Code;S;;;S
MHY;1;MHY_FILIAL+MHY_CODBOM+MHY_CODCON;Código da Bomba + Tanque de Abastecimento;Código de bomba + Tanque de Suministro;Pump Code + Supply Tank;S;;;S
MHZ;1;MHZ_FILIAL+MHZ_CODTAN;Código do Tanque de Abastecimento;Código del Tanque de Suministro;Supply Tank Code;S;;;S
MHZ;2;MHZ_FILIAL+MHZ_CODTAN+MHZ_TPCOMB;Código do Tanque + Tipo de Combustivel;Código del Tanque + Tipo de Combustible;Tank Code + Fuel Type;S;;;S
MHZ;3;MHZ_FILIAL+MHZ_CODPRO+MHZ_LOCAL;Código do Produto + Local de Armazenamento;Código de Producto + Ubicación de Almacenamiento;Product Code + Storage Location;S;;;S
MIA;1;MIA_FILIAL+MIA_CODIGO+MIA_TIPO;Código + Tipo do Item;Código + Tipo de Artículo;Code + Article Type;S;;;S
MIB;1;MIB_FILIAL+MIB_CODMAN+dtos(MIB_DATA)+MIB_NROLAC+MIB_CORLAC;Cód. Manutenção + Data + Número do Lacre + Cor;Código Mantenimiento + Fecha + Número de Sello + Color;code Maintenance + Date + Seal Number + Color;S;;;S
MIB;2;MIB_FILIAL+MIB_NROLAC;Número do Lacre;Número de Sello;Seal number;S;;;S
MIB;3;MIB_FILIAL+MIB_CODBOM+MIB_NROLAC;Código da Bomba + Número do Lacre;Código de Bomba + Número de Sello;Pump Code + Seal Number;S;;;S
MIC;1;MIC_FILIAL+MIC_CODBIC+MIC_CODBOM;Código do Bico de Abastecimento + Código da Bomba;Código de Boquilla de Suministro + Código de Bomba;Supply Nozzle Code + Pump Code;S;;;S
MIC;2;MIC_FILIAL+MIC_CODBOM+MIC_CODBIC;Código da Bomba + Código do Bico de Abastecimento;Código de Bomba + Código de Boquilla de Suministro;Pump Code + Supply Nozzle Code;S;;;S
MIC;3;MIC_FILIAL+MIC_CODBIC+MIC_CODTAN;Código do Bico de Abastecimento + Tanque;Código de Boquilla de Suministro + Tanque;Supply Nozzle Code + Tank;S;;;S
