X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_AGRUP
ACY;10;ACY_XLC;N;14;2;Vlr Lim Vend;Vlr Lim Vend;Vlr Lim Vend;Valor Limite Venda;Valor Limite Venda;Valor Limite Venda;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;S;U;N;A;R;;Positivo();;;;;!SuperGetMv("TP_ACTLCS",,.F.);;;;;;;;N;N;;
ACY;11;ACY_XSLDLC;N;14;2;Sld Lim Vend;Sld Lim Vend;Sld Lim Vend;Saldo Limite Venda;Saldo Limite Venda;Saldo Limite Venda;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;if(!INCLUI.and.FindFunction('U_TRETE032'),ACY->ACY_XLC-U_TRETE032(1,{{'','',ACY->ACY_GRPVEN}})[01][02],0);;0;xxxx x;;;U;N;V;V;;;;;;;;;;;;;;;N;N;;
ACY;12;ACY_XBLPRZ;C;1;0;Blq Crd Vend;Blq Crd Vend;Blq Crd Vend;Bloqueio Credito Venda;Bloqueio Credito Venda;Bloqueio Credito Venda;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'2';;0;xxxx x;;;U;N;A;R;;;1=Sim|2=Nao;1=Sim|2=Nao;1=Sim|2=Nao;;!SuperGetMv("TP_ACTLCS",,.F.);;;;;;;;N;N;;
ACY;13;ACY_XLIMSQ;N;14;2;Vlr Lim Saqu;Vlr Lim Saqu;Vlr Lim Saqu;Valor Limite Saque;Valor Limite Saque;Valor Limite Saque;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;;0;xxxx x;;S;U;N;A;R;;Positivo();;;;;!SuperGetMv("TP_ACTLCS",,.F.);;;;;;;;N;N;;
ACY;14;ACY_XSLDSQ;N;14;2;Sld Lim Saqu;Sld Lim Saqu;Sld Lim Saqu;Saldo Limite Saque;Saldo Limite Saque;Saldo Limite Saque;@E 99,999,999,999.99;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;if(!INCLUI.and.FindFunction('U_TRETE032'),ACY->ACY_XLIMSQ-U_TRETE032(2,{{'','',ACY->ACY_GRPVEN}})[01][02],0);;0;xxxx x;;;U;N;V;V;;;;;;;;;;;;;;;N;N;;
ACY;15;ACY_XBLRSA;C;1;0;Blq Crd Saqu;Blq Crd Saqu;Blq Crd Saqu;Bloqueio Credito Saque;Bloqueio Credito Saque;Bloqueio Credito Saque;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;'2';;0;xxxx x;;;U;N;A;R;;;1=Sim|2=Nao;1=Sim|2=Nao;1=Sim|2=Nao;;!SuperGetMv("TP_ACTLCS",,.F.);;;;;;;;N;N;;
ACY;16;ACY_SITUA;C;2;0;Situacao;Situacion;Status;Situacao do Registro;Situacion de Registro;Record Status;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
ACY;06;ACY_MSEXP;C;8;0;Ident.Exp.;Ident.Exp.;Exp. ID;Ident.Exp.Dados;Ident.Exp.Datos;Data Exp. Ident.;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;N;;N;;
ACY;17;ACY_HREXP;C;8;0;Hora Exp;Hora Exp;Hora Exp;Hora da Exportacao;Hora da Exportacao;Hora da Exportacao;;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x;;;0;xxxx x;;;U;N;V;R;;;;;;;;;;;S;;;;;;;
CD6;23;CD6_CODANP;C;9;0;Cod ANP;Cod. ANP;ANP Code;Codigo da tabela ANP;Codigo de la tabla ANP;ANP Table Code;@!;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x;;SZO;1;x xxxx;;S;;N;A;R;;;;;;;;;;;S;;;N;N;N;;
