XB_ALIAS;XB_TIPO;XB_SEQ;XB_COLUNA;XB_DESCRI;XB_DESCSPA;XB_DESCENG;XB_CONTEM;XB_WCONTEM
MHX;1;01;DB;Concentradoras;Concentradoras;Concentradoras;MHX;
MHX;2;01;01;Codigo;Codigo;Codigo;;
MHX;4;01;01;Codigo;Codigo;Codigo;MHX_CODCON;
MHX;4;01;02;Fabricante;Fabricante;Fabricante;MHX_CODFAB;
MHX;4;01;03;Modelo;Modelo;Modelo;MHX_DESC;
MHX;5;01;;;;;MHX->MHX_CODCON;
MHX;6;01;;;;;MHX->MHX_STATUS == '1';
MHY;1;01;DB;Bombas Combustiveis;Bombas Combustiveis;Bombas Combustiveis;MHY;
MHY;2;01;01;Código da Bomba + Ta;Código de Bomba + Ta;Pump Code + Supply T;;
MHY;4;01;01;Cód. Bomba;Cód Bomba;Pump Code;MHY_CODBOM;
MHY;4;01;02;Modelo;Modelo Bomba;Pump Model;MHY_MODBOM;
MHY;4;01;03;Série Bomba;Serie Bomba;Pump Series;MHY_SERIE;
MHY;5;01;;;;;MHY->MHY_CODBOM;
MHZ;1;01;DB;Tanques Combustivel;Tanques Combustivel;Tanques Combustivel;MHZ;
MHZ;2;01;01;Código do Tanque de;Código Del Tanque de;Supply Tank Code;;
MHZ;4;01;01;Cód Tanque;Cód Tanque;Fuel Tank Co;MHZ_CODTAN;
MHZ;4;01;02;Descrição;Descrição;Descrição;MHZ_XDESCR;
MHZ;5;01;;;;;MHZ->MHZ_CODTAN;
MHZRET;1;01;DB;Tanque (Grp);Tanque (Grp);Tanque (Grp);MHZ;
MHZRET;2;01;01;Código do Tanque de;Código Del Tanque de;Supply Tank Code;;
MHZRET;4;01;01;Cód Tanque;Cód Tanque;Fuel Tank Co;MHZ_CODTAN;
MHZRET;4;01;02;Cód Produto;Producto;Product Code;MHZ_CODPRO;
MHZRET;4;01;03;Desc Produto;Descripción;Desc Produto;MHZ_DESPRO;
MHZRET;4;01;04;Dt Ativacao;Fech Activac;Activat Date;MHZ_DTATIV;
MHZRET;5;01;;;;;MHZ->MHZ_CODTAN;
MIABOM;1;01;DB;Fabricante de Bomba;Fabricante de bombas;Pump Manufacturer;MIA;
MIABOM;2;01;01;Código + Tipo;Código + Tipo;Code + Type;;
MIABOM;3;01;01;Cadastra Novo;Incluye Nuevo;Add New;01;
MIABOM;4;01;01;Código;Código;Code;MIA_CODIGO;
MIABOM;4;01;02;Nome;Nombre;Name;MIA_DESCRI;
MIABOM;5;01;;;;;MIA->MIA_CODIGO;
MIABOM;6;01;;;;;MIA->MIA_TIPO == '03';
MIAFB2;1;01;DB;Fabricante de Tanque;Fabricante de tanque;Tank Manufacturer;MIA;
MIAFB2;2;01;01;Código + Tipo;Código + Tipo;Code + Type;;
MIAFB2;3;01;01;Cadastra Novo;Incluye Nuevo;Add New;01;
MIAFB2;4;01;01;Codigo;Codigo;Code;MIA_CODIGO;
MIAFB2;4;01;02;Nome;Nombre;Name;MIA_DESCRI;
MIAFB2;5;01;;;;;MIA->MIA_CODIGO;
MIAFB2;6;01;;;;;MIA->MIA_TIPO == '02';
MIAFB3;1;01;DB;Fabricante Bicos;Fabricante Bicos;Fabricante Bicos;MIA;
MIAFB3;2;01;01;Código + Tipo;Código + Tipo;Code + Type;;
MIAFB3;3;01;01;Cadastra Novo;Incluye Nuevo;Add New;01;
MIAFB3;4;01;01;Fabricante;Fabricante;Manufacturer;MIA_CODIGO;
MIAFB3;4;01;02;Nome;Nombre;Name;MIA_DESCRI;
MIAFB3;5;01;;;;;MIA->MIA_CODIGO;
MIAFB3;6;01;;;;;MIA->MIA_TIPO == '04';
MIATPB;1;01;DB;Tipo de Combustível;Tipo de combustible;Type of fuel;MIA;
MIATPB;2;01;01;Código + Tipo;Código + Tipo;Code + Type;;
MIATPB;3;01;01;Cadastra Novo;Incluye Nuevo;Add New;01;
MIATPB;4;01;01;Código;Código;Code;MIA_CODIGO;
MIATPB;4;01;02;Nome;Nombre;Name;MIA_DESCRI;
MIATPB;5;01;;;;;MIA->MIA_CODIGO;
MIATPB;6;01;;;;;MIA->MIA_TIPO == '01';
MIC01;1;01;DB;Bicos Combustiveis;Bicos Combustiveis;Bicos Combustiveis;MIC;
MIC01;2;01;01;Código do Bico de Ab;Código de Boquilla d;Supply Nozzle Code +;;
MIC01;4;01;01;Código Bico;Código Punta;Supply Tip C;MIC_CODBIC;
MIC01;4;01;02;Nr Logico Bc;Número Lógic;Nozzle Logic;MIC_NLOGIC;
MIC01;4;01;03;Descrição;Descrição;Descrição;Posicione("MHZ",1,xFilial("MHZ")+MIC_CODTAN,"MHZ_DESPRO");
MIC01;5;01;;;;;MIC->MIC_CODBIC;
MICSLG;1;01;RE;Estações;Estações;Estações;;
MICSLG;2;01;01;;;;U_TPDVP21B();
MICSLG;5;01;;;;;M->MIC_XHOST;
SA6GER;1;01;DB;Gerente;Gerente;Gerente;SA6;
SA6GER;2;01;01;Codigo + Nro Agencia;Codigo + Nro Agencia;Code + Branch Nmb +;;
SA6GER;4;01;01;Codigo;Codigo;Code;A6_COD;
SA6GER;4;01;02;Nome Banco;Nombre Banco;Bank Name;A6_NOME;
SA6GER;5;01;;;;;SA6->A6_COD+SA6->A6_AGENCIA+SA6->A6_NUMCON;
SA6GER;6;01;;;;;SA6->A6_FILIAL == xFilial("SA6") .And. SA6->A6_XGERENT == "1" .AND. SA6->A6_BLOCKED <> '1';
DA402;1;01;DB;Motoristas;Motoristas;Motoristas;DA4;
DA402;2;01;01;Codigo;Codigo;Code;;
DA402;2;02;02;Motorista;Conductor;Driver;;
DA402;2;03;03;Cnpj/cpf;Cnpj/cpf;Cnpj/cpf;;
DA402;3;01;01;Cadastra Novo;Incluye Nuevo;Add New;01;
DA402;4;01;01;Filial;Sucursal;Branch;DA4_FILIAL;
DA402;4;01;02;Codigo;Codigo;Code;DA4_COD;
DA402;4;01;03;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;DA4_CGC;
DA402;4;01;04;Motorista;Conductor;Driver;DA4_NOME;
DA402;4;02;01;Filial;Sucursal;Branch;DA4_FILIAL;
DA402;4;02;02;Motorista;Conductor;Driver;DA4_NOME;
DA402;4;02;03;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;DA4_CGC;
DA402;4;02;04;Codigo;Codigo;Code;DA4_COD;
DA402;4;03;01;Filial;Sucursal;Branch;DA4_FILIAL;
DA402;4;03;02;CNPJ/CPF;CNPJ/CPF;CNPJ/CPF;DA4_CGC;
DA402;4;03;03;Motorista;Conductor;Driver;DA4_NOME;
DA402;4;03;04;Codigo;Codigo;Code;DA4_COD;
DA402;5;01;;;;;DA4->DA4_CGC;
SZO;1;01;DB;Codigos APN;Codigos APN;Codigos APN;SZO;
SZO;2;01;01;Codigo;Codigo;Codigo;;
SZO;2;02;02;Desc. Comb.;Desc. Comb.;Desc. Comb.;;
SZO;4;01;01;Codigo;Codigo;Codigo;ZO_CODCOMB;
SZO;4;01;02;Desc. Comb.;Desc. Comb.;Desc. Comb.;ZO_DESCRI;
SZO;4;02;01;Codigo;Codigo;Codigo;ZO_CODCOMB;
SZO;4;02;02;Desc. Comb.;Desc. Comb.;Desc. Comb.;ZO_DESCRI;
SZO;5;01;;;;;SZO->ZO_CODCOMB;
