X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_AGRUP
SL2;05;L2_QUANT;N;10;3;Quantidade;Cantidad;Quantity;Quantidade Vendida;Cantidad Vendida;Quantity Sold;@E 999,999.999;IIF(LGRADE,A010QTDGRA(),.T.);€€€€€€€€€€€€€€ ;;;1;˜À;;S;;S;;;;;;;;;;;;;S;;#L2_QUANT  >0;N;N;N;;
SL3;02;L3_QUANT01;N;18;8;Quant.Mes 01;Ctd. Mes 01;Qty.Month 1;Quantidade Vendida Mes 01;Cantidad Vendida Mes 01;Quantity Sold in Month 1;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;03;L3_QUANT02;N;18;8;Quant.Mes 02;Ctd. Mes 02;Qty.Month 2;Quantidade Vendida Mes 02;Cantidad Vendida Mes 02;Quantity Sold in Month 2;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;04;L3_QUANT03;N;18;8;Quant.Mes 03;Ctd. Mes 03;Qty.Month 3;Quantidade Vendida Mes 03;Cantidad Vendida Mes 03;Quantity Sold in Month 3;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;05;L3_QUANT04;N;18;8;Quant.Mes 04;Ctd. Mes 04;Qty.Month 4;Quantidade Vendida Mes 04;Cantidad Vendida Mes 04;Quantity Sold in Month 4;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;06;L3_QUANT05;N;18;8;Quant.Mes 05;Ctd. Mes 05;Qty.Month 5;Quantidade Vendida Mes 05;Cantidad Vendida Mes 05;Quantity Sold in Month 5;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;07;L3_QUANT06;N;18;8;Quant.Mes 06;Ctd. mes 06;Qty.Month 6;Quantidade Vendida Mes 06;Cantidad Vendida Mes 06;Quantity Sold in Month 6;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;08;L3_QUANT07;N;18;8;Quant.Mes 07;Ctd. Mes 07;Qty.Month 7;Quantidade Vendida Mes 07;Cantidad Vendida Mes 07;Quantity Sold in Month 7;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;09;L3_QUANT08;N;18;8;Quant.Mes 08;Ctd. Mes 08;Qty.Month 8;Quantidade Vendida Mes 08;Cantidad Vendida Mes 08;Quantity Sold in Month 8;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;10;L3_QUANT09;N;18;8;Quant.Mes 09;Ctd. Mes 09;Qty.Month 9;Quantidade Vendida Mes 09;Cantidad Vendida Mes 09;Quantity Sold in Month 9;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;11;L3_QUANT10;N;18;8;Quant.Mes 10;Ctd. Mes 10;Qty.Month 10;Quantidade Vendida Mes 10;Cantidad Vendida Mes 10;Quantity Sold in Month 10;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;12;L3_QUANT11;N;18;8;Quant.Mes 11;Ctd. Mes 11;Qty.Month 11;Quantidade Vendida Mes 11;Cantidad Vendida Mes 11;Quantity Sold in Month 11;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SL3;13;L3_QUANT12;N;18;8;Quant.Mes 12;Ctd. Mes 12;Qty.Month 12;Quantidade Vendida Mes 12;Cantidad Vendida Mes 12;Quantity Sold in Month 12;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;”à;;;;S;A;R;;;;;;;;;;;S;;;N;N;N;;
SLR;06;LR_QUANT;N;10;3;Quantidade;Cantidad;Quantity;Quantidade Vendida;Cantidad Vendida;Quantity;@E 999,999.999;Lj7VlItem( 1 );€€€€€€€€€€€€€€ ;;;1;Ÿ€;;;;;;;;;;;;;;;;;S;;;N;N;N;;
SA5;11;A5_QUANT01;N;18;8;1a. Quant.;1a. Cantidad;1st Quantity;Quantidade da 1a. Compra;Cantidad de la 1a. Compra;Quantity 1st Purchase;@E 999,999,999.99999999;;€€€€€€€€€€€€€€ ;;;1;šÀ;;;;N;A;R;;;;;;;;;;1;S;;;N;N;N;;
SB1;31;B1_EMIN;N;18;8;Ponto Pedido;Punto Pedido;Order Point;Ponto de Pedido;Punto de Pedido;Order Point;@E 999,999,999.99;;€€€€€€€€€€€€€€ ;;;1;žÀ;;;;N;;;;Positivo();;;;;;;;3;S;;;N;N;N;;
SB1;39;B1_ESTSEG;N;18;8;Seguranca;Seguridad;Safety Inv.;Estoque de Seguranca;Stock de Seguridad;Security Inventory;@E 999,999,999.99;;€€€€€€€€€€€€€€ ;;;1;žÀ;;;;N;;;;Positivo();;;;;;;;3;S;;;N;N;N;;
SB1;43;B1_LE;N;18;8;Lote Econom.;Lote Econom.;Economic Lot;Lote Economico;Lote Economico;Economic Lot;@E 999,999,999.99;A010Mult();€€€€€€€€€€€€€€ ;;;1;žÀ;;;;N;;;;Positivo();;;;;;;;3;S;;;N;N;N;;
SB1;44;B1_LM;N;18;8;Lote Minimo;Lote Minimo;Minimum Lot;Lote Minimo;Lote Minimo;Minimum Lot;@E 999,999,999.99;Positivo();€€€€€€€€€€€€€€ ;;;1;žÀ;;;;N;;;;Positivo();;;;;;;;3;S;;;N;N;N;;
