X7_CAMPO;X7_SEQUENC;X7_REGRA;X7_CDOMIN;X7_TIPO;X7_SEEK;X7_ALIAS;X7_ORDEM;X7_CHAVE;X7_CONDIC;X7_PROPRI
L2_QUANT;001;NoRound((M->L2_PRCTAB * M->L2_QUANT - M->L2_VALDESC),2);L2_VLRITEM;P;N;;0;;;S
L2_QUANT;002;lj010Ipi(,,,,"ACOLS");L2_VALIPI;P;N;;0;;;S
L2_QUANT;003;lj010Icms();L2_VALICM;P;N;;0;;;S
L2_QUANT;004;lj010iss();L2_VALISS;P;N;;0;;;S
L2_QUANT;005;LJ010ESTOQ("Q");L2_QUANT;P;N;;0;;;S
L2_QUANT;006;NoRound(M->L2_PRCTAB * M->L2_QUANT - (M->L2_PRCTAB * M->L2_QUANT * M->L2_DESC / 100),2);L2_VLRITEM;P;N;;0;;lTroca;S
L2_QUANT;007;NoRound((M->L2_PRCTAB * M->L2_QUANT) - M->L2_VLRITEM,2);L2_VALDESC;P;N;;0;;lTroca;S
L2_QUANT;008;IIF(M->L2_QUANT > 0,NoRound(M->L2_PRCTAB - (M->L2_VALDESC / M->L2_QUANT),2),0);L2_VRUNIT;P;N;;0;;;S
L2_QUANT;009;LJ010PRECO("GRADE");L2_VRUNIT;P;N;;0;;M->L2_QUANT<=0 .AND. LGRADPROD;S
L2_QUANT;010;LJ010Quan();L2_DESC;P;N;;0;;!GetMv("MV_GRADE");S
L2_QUANT;011;LJ010SITEM();L2_VRUNIT;P;N;;0;;;S
BC_QUANT;001;M->BC_QUANT;BC_QTDDEST;P;N;;0;;;S
C0_QUANT;001;M->C0_QUANT;C0_QTDORIG;P;N;;0;;;S
C3_QUANT;001;M->C3_TOTAL := NoRound(M->C3_PRECO*M->C3_QUANT,TamSX3("C3_TOTAL")[2]);C3_TOTAL;P;N;;0;;;S
C3_QUANT;002;M->C3_QUANT;C3_QTIMP;P;;;0;;;S
C7_QUANT;001;M->C7_TOTAL := Round(M->C7_PRECO*M->C7_QUANT,TamSX3("C7_TOTAL")[2]);C7_TOTAL;P;N;;0;;;S
C7_QUANT;002;M->C7_TOTAL := IF(A120Trigger("C7_TOTAL"),M->C7_TOTAL,0);C7_TOTAL;P;N;;0;;;S
C7_QUANT;003;A120lTime();C7_DINICOM;P;N;;0;;;S
C8_QUANT;001;NoRound(M->C8_PRECO*M->C8_QUANT,2);C8_TOTAL;P;N;;0;;;U
C8_QUANT;002;If(A150Trigger("C8_TOTAL"),M->C8_TOTAL,CriaVar("C8_TOTAL"));C8_TOTAL;P;N;;0;;;U
CK_QTDVEN;001;a415Tabela(M->CK_PRODUTO,M->CJ_TABELA,TMP1->CK_QTDVEN);CK_PRUNIT;P;N;;0;;;S
CK_QTDVEN;002;M->CK_PRUNIT;CK_PRCVEN;P;N;;0;;;S
CK_QTDVEN;003;a415PrcLista(M->CK_PRUNIT);CK_PRUNIT;P;N;;0;;GETMV("MV_PRCORC");S
CK_QTDVEN;004;M->CK_PRUNIT;CK_PRCVEN;P;N;;0;;GETMV("MV_PRCORC");S
CK_QTDVEN;005;Round(M->CK_QTDVEN*M->CK_PRCVEN,2);CK_VALOR;P;N;;0;;a415DesCab(.F.);S
CK_QTDVEN;006;FtRegraDesc(2);CK_DESCONT;P;N;;0;;;S
D1_QUANT;001;M->D1_QUANT;D1_SLDEXP;P;N;;0;;;S
L2_VRUNIT;001;0;L2_DESC;P;N;;0;;;S
L2_VRUNIT;002;0;L2_VALDESC;P;N;;0;;;S
L2_VRUNIT;003;NoRound(M->L2_VRUNIT * M->L2_QUANT,2);L2_VLRITEM;P;N;;0;;;S
L2_VRUNIT;004;NoRound((M->L2_VRUNIT*M->L2_QUANT)-M->L2_VALDESC,2);L2_VLRITEM;P;N;;0;;;S
L2_VRUNIT;005;lj010Ipi(,,,,"ACOLS");L2_VALIPI;P;N;;0;;;S
L2_VRUNIT;006;lj010Icms();L2_VALICM;P;N;;0;;;S
L2_VRUNIT;007;lj010iss();L2_VALISS;P;N;;0;;;S
L2_VRUNIT;008;M->L2_VRUNIT;L2_PRCTAB;P;N;;0;;;S
L2_VRUNIT;009;NoRound(M->L2_VRUNIT - (M->L2_VALDESC / M->L2_QUANT),2);L2_VRUNIT;P;N;;0;;;S
DA1_PRCVEN;001;0;DA1_VLRDES;P;N;;0;;;S
DA1_PRCVEN;002;0;DA1_PERDES;P;N;;0;;;S
C1_PRECO;001;M->C1_TOTAL := NoRound(M->C1_PRECO*M->C1_QUANT,TamSX3("C1_TOTAL")[2]);C1_TOTAL;P;N;;0;;;S
C3_PRECO;001;M->C3_TOTAL := NoRound(M->C3_PRECO*M->C3_QUANT,TamSX3("C3_TOTAL")[2]);C3_TOTAL;P;N;;0;;;S
C3_PRECO;002;M->C3_TOTAL := If(A125Trigger("C3_TOTAL"),M->C3_TOTAL,0);C3_TOTAL;P;N;;0;;;S
C7_PRECO;001;M->C7_TOTAL := Round(M->C7_PRECO*M->C7_QUANT,TamSX3("C7_TOTAL")[2]);C7_TOTAL;P;N;;0;;;S
C7_PRECO;002;M->C7_TOTAL := If(A120Trigger("C7_TOTAL"),M->C7_TOTAL,0);C7_TOTAL;P;N;;0;;;S
C7_PRECO;003;Posicione("SC1",1,xFilial("SC1")+M->C7_NUMSC+M->C7_ITEMSC,"C1_NATUREZ");C7_NATUREZ;P;N;;0;;;U
C8_PRECO;001;M->C8_TOTAL := Round(M->C8_PRECO*M->C8_QUANT,TamSX3("C8_TOTAL")[2]);C8_TOTAL;P;N;;0;;;S
C8_PRECO;002;M->C8_TOTAL := If(A150Trigger("C8_TOTAL"),M->C8_TOTAL,0);C8_TOTAL;P;N;;0;;;S
C8_PRECO;003;Round(M->C8_QUANT*M->C8_PRECO,2);C8_TOTAL;P;N;;0;;;U
C8_PRECO;004;If(A150Trigger("C8_TOTAL"),M->C8_TOTAL,CriaVar("C8_TOTAL"));C8_TOTAL;P;N;;0;;;U
CY_PRECO;001;M->CY_TOTAL := NoRound(M->CY_PRECO*M->CY_QUANT,TamSX3("CY_TOTAL")[2]);CY_TOTAL;P;N;;0;;;S
CY_PRECO;002;M->CY_TOTAL := If(A120Trigger("CY_TOTAL"),M->CY_TOTAL,0);CY_TOTAL;P;N;;0;;;S
D1_VUNIT;001;NoRound(M->D1_VUNIT*M->D1_QUANT,3);D1_TOTAL;P;N;;0;;;U
D1_VUNIT;002;If(A103Trigger("D1_TOTAL"),M->D1_TOTAL,CriaVar("D1_TOTAL"));D1_TOTAL;P;N;;0;;;U
